Poggio San Vicino comune,Poggio San Vicino comune.1
,
Poggio San Vicino – VedutaVista di Poggio San Vicino (sulla destra) da Apiro.,Poggio San Vicino – VedutaVista di Poggio San Vicino (sulla destra) da Apiro.
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Sara Simoncini (lista civica) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°22′28.63″N 13°04′44.76″E
Altitudine,509 m s.l.m.
Superficie,"13,03 km²"
Abitanti,195[1] (30-11-2025)
Densità,"14,97 ab./km²"
Frazioni,Serronchia
Comuni confinanti,"Apiro, Cerreto d'Esi (AN), Fabriano (AN), Matelica, Serra San Quirico (AN)"
Altre informazioni,Altre informazioni
Cod. postale,62020
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043040
Cod. catastale,D566
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 235 GG[3]"
Nome abitanti,poggesi
Patrono,santa Caterina da Siena
Giorno festivo,30 aprile
Cartografia,Cartografia
Poggio San Vicino,Poggio San Vicino
Poggio San Vicino – MappaPosizione del comune di Poggio San Vicino nella provincia di Macerata,Poggio San Vicino – MappaPosizione del comune di Poggio San Vicino nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
