Muccia comune,Muccia comune.1
,
Muccia – VedutaSan Biagio,Muccia – VedutaSan Biagio
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Antonella Borzacchiello (commissario prefettizio) dal 28-7-2025
Territorio,Territorio
Coordinate,43°04′54.84″N 13°02′38.51″E
Altitudine,454 m s.l.m.
Superficie,"25,91 km²"
Abitanti,788[1] (30-11-2025)
Densità,"30,41 ab./km²"
Frazioni,"Col di Giove, Costafiore, Giove, Maddalena, Massaprofoglio, Rocchetta, Vallicchio"
Comuni confinanti,"Camerino, Pieve Torina, Serravalle di Chienti, Valfornace"
Altre informazioni,Altre informazioni
Cod. postale,62034
Prefisso,0737
Fuso orario,UTC+1
Codice ISTAT,043034
Cod. catastale,F793
Targa,MC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 171 GG[3]"
Nome abitanti,muccesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Muccia,Muccia
Muccia – MappaPosizione del comune di Muccia nella provincia di Macerata,Muccia – MappaPosizione del comune di Muccia nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
