Fiuminata comune,Fiuminata comune.1
,
Fiuminata – VedutaMunicipio di Fiuminata,Fiuminata – VedutaMunicipio di Fiuminata
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Vincenzo Felicioli (lista civica) dal 27-5-2019[1] (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,43°11′18.56″N 12°55′54.08″E
Altitudine,479 m s.l.m.
Superficie,"76,22 km²"
Abitanti,1 200[2] (30-11-2025)
Densità,"15,74 ab./km²"
Frazioni,"Bufeto, Bussi, Campottone, Capomassa, Casenove, Castello, Colmaggiore, Fonte di Brescia, La Castagna, Laverino, Massa (sede comunale), Orpiano, Poggio Sorifa, Pontile, Quadreggiana, San Cassiano, Spindoli, Valcora, Vallibbia"
Comuni confinanti,"Castelraimondo, Esanatoglia, Fabriano (AN), Matelica, Nocera Umbra (PG), Pioraco, Sefro, Serravalle di Chienti"
Altre informazioni,Altre informazioni
Cod. postale,62025
Prefisso,0737
Fuso orario,UTC+1
Codice ISTAT,043019
Cod. catastale,D628
Targa,MC
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 200 GG[4]"
Nome abitanti,fiuminatesi
Patrono,Madonna dell'Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Fiuminata,Fiuminata
Fiuminata – MappaPosizione del comune di Fiuminata nella provincia di Macerata,Fiuminata – MappaPosizione del comune di Fiuminata nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
