Penna San Giovanni comune,Penna San Giovanni comune.1
,
Penna San Giovanni – VedutaPenna San Giovanni e il Monte Priora sullo sfondo,Penna San Giovanni – VedutaPenna San Giovanni e il Monte Priora sullo sfondo
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Stefano Burocchi (lista civica) dall'11-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,43°03′21.49″N 13°25′23.7″E
Altitudine,630 m s.l.m.
Superficie,"28,08 km²"
Abitanti,903[1] (30-11-2025)
Densità,"32,16 ab./km²"
Frazioni,"Caselunghe, Crocifisso, Guerci, Magli, Pilotti, Saletta, Saline"
Comuni confinanti,"Amandola (FM), Falerone (FM), Gualdo, Monte San Martino, Sant'Angelo in Pontano, Servigliano (FM)"
Altre informazioni,Altre informazioni
Cod. postale,62020
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043035
Cod. catastale,G436
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 377 GG[3]"
Nome abitanti,pennesi
Patrono,san Giovanni Battista
Giorno festivo,29 agosto - 24 giugno
Cartografia,Cartografia
Penna San Giovanni,Penna San Giovanni
Penna San Giovanni – MappaPosizione del comune di Penna San Giovanni nella provincia di Macerata,Penna San Giovanni – MappaPosizione del comune di Penna San Giovanni nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
