Valfornace comune,Valfornace comune.1
,
Valfornace – Veduta,Valfornace – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Massimo Citracca (lista civica) dal 12-6-2017 (2º mandato dal 13-6-2022)
Data di istituzione,1-1-2017
Territorio,Territorio
Coordinate,43°03′43.81″N 13°05′03.91″E
Superficie,"48,61[1] km²"
Abitanti,882[2] (30-11-2025)
Densità,"18,14 ab./km²"
Comuni confinanti,"Caldarola, Camerino, Cessapalombo, Fiastra, Muccia, Pieve Torina, Visso"
Altre informazioni,Altre informazioni
Cod. postale,62031
Prefisso,0737
Fuso orario,UTC+1
Codice ISTAT,043058
Cod. catastale,M382
Targa,MC
Cl. sismica,zona 2 (sismicità media)[3]
Cartografia,Cartografia
Valfornace,Valfornace
Valfornace – MappaPosizione del comune di Valfornace nella provincia di Macerata,Valfornace – MappaPosizione del comune di Valfornace nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
