Colmurano comune,Colmurano comune.1
,
"Colmurano – VedutaPiazza Umberto I; con la porta ogivale, il palazzo comunale e la chiesa parrocchiale di San Donato.","Colmurano – VedutaPiazza Umberto I; con la porta ogivale, il palazzo comunale e la chiesa parrocchiale di San Donato."
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Mirko Mari (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°09′50.4″N 13°21′25.2″E
Altitudine,414 m s.l.m.
Superficie,"11,2 km²"
Abitanti,1 122[1] (30-11-2025)
Densità,"100,18 ab./km²"
Frazioni,Passo Colmurano
Comuni confinanti,"Loro Piceno, Ripe San Ginesio, San Ginesio, Tolentino, Urbisaglia"
Altre informazioni,Altre informazioni
Cod. postale,62020
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043014
Cod. catastale,C886
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 124 GG[3]"
Nome abitanti,colmuranesi
Patrono,san Donato
Cartografia,Cartografia
Colmurano,Colmurano
Colmurano – MappaPosizione del comune di Colmurano nella provincia di Macerata,Colmurano – MappaPosizione del comune di Colmurano nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
