Appignano comune,Appignano comune.1
,
Appignano – Veduta,Appignano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Mariano Calamita (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°21′50.87″N 13°20′47.11″E
Altitudine,199 m s.l.m.
Superficie,"22,67 km²"
Abitanti,4 121[1] (30-11-2025)
Densità,"181,78 ab./km²"
Frazioni,Forano
Comuni confinanti,"Cingoli, Filottrano (AN), Macerata, Montecassiano, Montefano, Treia"
Altre informazioni,Altre informazioni
Cod. postale,62010
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043003
Cod. catastale,A334
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 879 GG[3]"
Nome abitanti,appignanesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Appignano,Appignano
Appignano – MappaPosizione del comune di Appignano nella provincia di Macerata,Appignano – MappaPosizione del comune di Appignano nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
