Sant'Angelo in Pontano comune,Sant'Angelo in Pontano comune.1
,
Sant'Angelo in Pontano – Veduta,Sant'Angelo in Pontano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Vanda Broglia (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°05′57.41″N 13°23′43.15″E
Altitudine,473 m s.l.m.
Superficie,"27,38 km²"
Abitanti,1 217[1] (30-11-2025)
Densità,"44,45 ab./km²"
Comuni confinanti,"Falerone (FM), Gualdo, Loro Piceno, Montappone (FM), Penna San Giovanni, Ripe San Ginesio, San Ginesio"
Altre informazioni,Altre informazioni
Cod. postale,62020
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043048
Cod. catastale,I286
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 193 GG[3]"
Nome abitanti,santangiolesi
Patrono,san Nicola da Tolentino
Giorno festivo,10 settembre
Cartografia,Cartografia
Sant'Angelo in Pontano,Sant'Angelo in Pontano
Sant'Angelo in Pontano – MappaPosizione del comune di Sant'Angelo in Pontano nella provincia di Macerata,Sant'Angelo in Pontano – MappaPosizione del comune di Sant'Angelo in Pontano nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
