Civitanova Marche comune,Civitanova Marche comune.1
,
Civitanova Marche – VedutaPanorama dal mare di Civitanova Marche con Porto Potenza Picena e il Monte Conero sullo sfondo,Civitanova Marche – VedutaPanorama dal mare di Civitanova Marche con Porto Potenza Picena e il Monte Conero sullo sfondo
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Fabrizio Ciarapica (centro-destra) dal 26-6-2017 (2º mandato dal 27-6-2022)
Territorio,Territorio
Coordinate,43°18′24.3″N 13°43′42.96″E
Altitudine,3 m s.l.m.
Superficie,"46,07 km²"
Abitanti,41 913[1] (30-11-2025)
Densità,"909,77 ab./km²"
Frazioni,"Belvedere,Castelletta, Civitanova Alta, Costamartina, Filippantò, Fontespina, Piane Chienti, Porto Civitanova, Santa Maria Apparente"
Comuni confinanti,"Montecosaro, Porto Sant'Elpidio (FM), Potenza Picena, Sant'Elpidio a Mare (FM)"
Altre informazioni,Altre informazioni
Cod. postale,62012
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043013
Cod. catastale,C770
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 643 GG[3]"
Nome abitanti,civitanovesi
Patrono,san Marone Martire
Giorno festivo,18 agosto
Cartografia,Cartografia
Civitanova Marche,Civitanova Marche
Civitanova Marche – MappaPosizione del comune di Civitanova Marche nella provincia di Macerata,Civitanova Marche – MappaPosizione del comune di Civitanova Marche nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
