Montefano comune,Montefano comune.1
,
"Montefano – VedutaL'ex Palazzo comunale, ora sede del Teatro La Rondinella","Montefano – VedutaL'ex Palazzo comunale, ora sede del Teatro La Rondinella"
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Angela Barbieri (lista civica di sinistra) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°24′41.76″N 13°26′19.25″E
Altitudine,242 m s.l.m.
Superficie,"33,94 km²"
Abitanti,3 296[1] (30-11-2025)
Densità,"97,11 ab./km²"
Frazioni,"Montefanovecchio, Osterianuova, Passatempo"
Comuni confinanti,"Appignano, Filottrano (AN), Montecassiano, Osimo (AN), Recanati"
Altre informazioni,Altre informazioni
Cod. postale,62010
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043029
Cod. catastale,F496
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 930 GG[3]"
Nome abitanti,montefanesi
Patrono,san Donato
Giorno festivo,7 agosto
Cartografia,Cartografia
Montefano,Montefano
Montefano – MappaPosizione del comune di Montefano nella provincia di Macerata,Montefano – MappaPosizione del comune di Montefano nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
