Visso comune,Visso comune.1
,
Visso – VedutaUno scorcio di Visso prima dei terremoti del 2016,Visso – VedutaUno scorcio di Visso prima dei terremoti del 2016
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Rosella Sensi (lista civica Cambiare insieme) dal 10-6-2024
Territorio,Territorio
Coordinate,42°55′51.17″N 13°05′18.42″E
Altitudine,616 m s.l.m.
Superficie,"100,4 km²"
Abitanti,921[1] (30-11-2025)
Densità,"9,17 ab./km²"
Frazioni,"Aschio, Borgo San Giovanni, Croce, Cupi, Fematre, Macereto, Mevale, Molini di Visso, Orvano, Ponte Chiusita, Rasenna, Riofreddo, Villa Sant'Antonio"
Comuni confinanti,"Fiastra, Castelsantangelo sul Nera, Cerreto di Spoleto (PG), Foligno (PG), Monte Cavallo, Pieve Torina, Preci (PG), Sellano (PG), Serravalle di Chienti, Ussita, Valfornace"
Altre informazioni,Altre informazioni
Cod. postale,62039
Prefisso,0737
Fuso orario,UTC+1
Codice ISTAT,043057
Cod. catastale,M078
Targa,MC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 350 GG[3]"
Nome abitanti,vissani
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Visso,Visso
Visso – MappaPosizione del comune di Visso nella provincia di Macerata,Visso – MappaPosizione del comune di Visso nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
