Provincia di Macerata provincia,Provincia di Macerata provincia.1
,
"Provincia di Macerata – VedutaPalazzo degli Studi, sede di alcuni uffici della Provincia.","Provincia di Macerata – VedutaPalazzo degli Studi, sede di alcuni uffici della Provincia."
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Amministrazione,Amministrazione
Capoluogo,Macerata
Presidente,Sandro Parcaroli (Lega Nord) dal 19-12-2021
Territorio,Territorio
Coordinate del capoluogo,43°18′00.9″N 13°27′11.89″E
Superficie,"2 779,34 km²"
Abitanti,301 693[1] (31-10-2025)
Densità,"108,55 ab./km²"
Comuni,55 comuni
Province confinanti,"Ancona, Fermo, Ascoli Piceno, Perugia"
Altre informazioni,Altre informazioni
Cod. postale,62100 (solo Macerata città)
Prefisso,0733 – 0737 – 071
Fuso orario,UTC+1
ISO 3166-2,IT-MC
Codice ISTAT,043
Targa,MC
PIL,"(nominale) 8 586,11 mln €[2](2022)"
PIL procapite,(nominale) 27 507 €[2](2022)
Cartografia,Cartografia
Provincia di Macerata – Localizzazione,Provincia di Macerata – Localizzazione
Provincia di Macerata – MappaPosizione della provincia di Macerata all'interno delle Marche.,Provincia di Macerata – MappaPosizione della provincia di Macerata all'interno delle Marche.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
