San Ginesio comune,San Ginesio comune.1
,
San Ginesio – VedutaPanorama con i Monti Sibillini,San Ginesio – VedutaPanorama con i Monti Sibillini
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Giuliano Ciabocco (lista civica) dall'11-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,43°06′28.24″N 13°19′00″E
Altitudine,680 m s.l.m.
Superficie,"78,02 km²"
Abitanti,3 044[1] (30-11-2025)
Densità,"39,02 ab./km²"
Frazioni,"Botondolo, Campanelle, Cardarello, Casa Gatti, Cerqueto, Colle, Collina, Ficcardo, Fontepeschiera, Macchie, Maregnano, Morichella, Morico, Passo San Ginesio, Pian di Pieca (Pieca e Santa Maria di Pieca) Rocca Colonnalta, San Liberato, Santa Croce, Santa Maria in Alto Cielo, Torre di Morro, Vallato, Vallimestre[2][3]"
Comuni confinanti,"Cessapalombo, Camporotondo di Fiastrone, Colmurano, Gualdo, Fiastra, Ripe San Ginesio, Sant'Angelo in Pontano, Sarnano, Tolentino"
Altre informazioni,Altre informazioni
Cod. postale,62026
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043046
Cod. catastale,H876
Targa,MC
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona E, 2 435 GG[5]"
Nome abitanti,ginesini e/o sanginesini
Patrono,san Ginesio martire
Giorno festivo,25 agosto
Cartografia,Cartografia
San Ginesio,San Ginesio
San Ginesio – MappaPosizione del comune di San Ginesio nella provincia di Macerata,San Ginesio – MappaPosizione del comune di San Ginesio nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
