Pieve Torina comune,Pieve Torina comune.1
,
Pieve Torina – Veduta,Pieve Torina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Alessandro Gentilucci[1] (lista civica Uniti per Pieve Torina) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°02′39.77″N 13°03′01.44″E
Altitudine,470 m s.l.m.
Superficie,"74,8 km²"
Abitanti,1 203[2] (30-11-2025)
Densità,"16,08 ab./km²"
Frazioni,"Accatti, Acquamorta, Antico, Appennino, Bazzano, Campogioni, Capanne, Capecchiara, Capodacqua, Capriglia, Casavecchia Alta, Centare, Collalto, Colle d'Antico, Colle di Casavecchia, Colle di Torricchio, Colle Rosso, Fiume, Gabbiano, Gagliole, Gallano, Giulo, La Serra, Le Rote, Lucciano, Nocecchia, Nottola, Pantana, Piano di Torricchio, Pie' Casavecchia, Piecollina, Pomarolo, Quartignano, Roti, San Vito, Seggiole, Sorti, Tazza, Torricchio, Vari, Varoncelli, Villanova"
Comuni confinanti,"Monte Cavallo, Muccia, Serravalle di Chienti, Ussita, Valfornace, Visso"
Altre informazioni,Altre informazioni
Cod. postale,62036
Prefisso,0737
Fuso orario,UTC+1
Codice ISTAT,043038
Cod. catastale,G657
Targa,MC
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 189 GG[4]"
Nome abitanti,pievetorinesi
Patrono,Madonna dell'Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Pieve Torina,Pieve Torina
Pieve Torina – MappaPosizione del comune di Pieve Torina nella provincia di Macerata,Pieve Torina – MappaPosizione del comune di Pieve Torina nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
