Gualdo comune,Gualdo comune.1
,
Gualdo – Veduta,Gualdo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Giovanni Zavaglini (lista civica) dall'8-6-2009 (4º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°04′01″N 13°20′17″E
Altitudine,650 m s.l.m.
Superficie,"22,22 km²"
Abitanti,697[1] (30-11-2025)
Densità,"31,37 ab./km²"
Frazioni,"Bartolotti, Castello, Contro, Fanelli, Marchesi, Massignano, Morrone, Picacchi, Scarchi, Tomassucci, Valle, Zazza"
Comuni confinanti,"Amandola (FM), Penna San Giovanni, San Ginesio, Sant'Angelo in Pontano, Sarnano"
Altre informazioni,Altre informazioni
Cod. postale,62020
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043021
Cod. catastale,E228
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 402 GG[3]"
Nome abitanti,gualdesi
Patrono,san Savino
Cartografia,Cartografia
Gualdo,Gualdo
Gualdo – MappaPosizione del comune di Gualdo nella provincia di Macerata,Gualdo – MappaPosizione del comune di Gualdo nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
