Cessapalombo comune,Cessapalombo comune.1
,
Cessapalombo – VedutaValle di Montalto,Cessapalombo – VedutaValle di Montalto
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Giuseppina Feliciotti (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°06′32.47″N 13°15′30.13″E
Altitudine,447 m s.l.m.
Superficie,"27,58 km²"
Abitanti,413[1] (30-11-2025)
Densità,"14,97 ab./km²"
Frazioni,"Col di Pietra, Colfano, Invernale, Monastero, Montalto, Prato, Tribbio, Villa di Montalto, Valle di Montalto"
Comuni confinanti,"Caldarola, Camporotondo di Fiastrone, Fiastra, San Ginesio, Valfornace"
Altre informazioni,Altre informazioni
Cod. postale,62020
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043011
Cod. catastale,C582
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 147 GG[3]"
Nome abitanti,cessapalombesi
Patrono,sant'Andrea Apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Cessapalombo,Cessapalombo
Cessapalombo – MappaPosizione del comune di Cessapalombo nella provincia di Macerata,Cessapalombo – MappaPosizione del comune di Cessapalombo nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
