Petriolo comune,Petriolo comune.1
,
Petriolo – Veduta,Petriolo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Matteo Santinelli (lista civica) dal 21-9-2020
Territorio,Territorio
Coordinate,43°13′15.75″N 13°27′56.73″E
Altitudine,271 m s.l.m.
Superficie,"15,65 km²"
Abitanti,1 818[1] (30-11-2025)
Densità,"116,17 ab./km²"
Comuni confinanti,"Corridonia, Loro Piceno, Urbisaglia"
Altre informazioni,Altre informazioni
Cod. postale,62014
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043036
Cod. catastale,G515
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 995 GG[3]"
Nome abitanti,Petriolesi
Patrono,san Marco
Giorno festivo,25 aprile
Cartografia,Cartografia
Petriolo,Petriolo
Petriolo – MappaPosizione del comune di Petriolo nella provincia di Macerata,Petriolo – MappaPosizione del comune di Petriolo nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
