Loro Piceno comune,Loro Piceno comune.1
,
Loro Piceno – VedutaVeduta,Loro Piceno – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Robertino Paoloni (lista civica Insieme per il Futuro) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°09′58.54″N 13°24′57.96″E
Altitudine,436 m s.l.m.
Superficie,"32,58 km²"
Abitanti,2 154[1] (30-11-2025)
Densità,"66,11 ab./km²"
Frazioni,"Borgo San Lorenzo, San Valentino, Varco, Passo Loro, Vignali Bàgnere"
Comuni confinanti,"Colmurano, Massa Fermana (FM), Mogliano, Montappone (FM), Petriolo, Ripe San Ginesio, Sant'Angelo in Pontano, Urbisaglia"
Altre informazioni,Altre informazioni
Cod. postale,62020
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043022
Cod. catastale,E694
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 150 GG[3]"
Nome abitanti,loresi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Loro Piceno,Loro Piceno
Loro Piceno – MappaPosizione del comune di Loro Piceno nella provincia di Macerata,Loro Piceno – MappaPosizione del comune di Loro Piceno nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
