Mogliano comune,Mogliano comune.1
,
Mogliano – VedutaIl municipio (palazzo Forti),Mogliano – VedutaIl municipio (palazzo Forti)
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Fabrizio Luchetti (lista civica Mogliano civica 2024) dal 10-6-2024
Territorio,Territorio
Coordinate,43°11′09.24″N 13°28′50.88″E
Altitudine,313 m s.l.m.
Superficie,"29,26 km²"
Abitanti,4 248[1] (30-11-2025)
Densità,"145,18 ab./km²"
Comuni confinanti,"Corridonia, Fermo (FM), Francavilla d'Ete (FM), Loro Piceno, Massa Fermana (FM), Petriolo"
Altre informazioni,Altre informazioni
Cod. postale,62010
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043025
Cod. catastale,F268
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 006 GG[3]"
Nome abitanti,moglianesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Mogliano,Mogliano
Mogliano – MappaPosizione del comune di Mogliano nella provincia di Macerata,Mogliano – MappaPosizione del comune di Mogliano nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
