Gagliole comune,Gagliole comune.1
,
Gagliole – Veduta,Gagliole – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Sandro Botticelli (Lista civica) dall'11-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,43°14′20.69″N 13°04′04.08″E
Altitudine,484 m s.l.m.
Superficie,"24,05 km²"
Abitanti,511[1] (30-11-2025)
Densità,"21,25 ab./km²"
Frazioni,"Acquosi, Casetre, Castellano, Celeano, Cerqueto, Collaiello, Selvalagli"
Comuni confinanti,"Castelraimondo, Matelica, San Severino Marche"
Altre informazioni,Altre informazioni
Cod. postale,62022
Prefisso,0737
Fuso orario,UTC+1
Codice ISTAT,043020
Cod. catastale,D853
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 206 GG[3]"
Nome abitanti,gagliolesi
Patrono,san Michele
Giorno festivo,8 maggio
Cartografia,Cartografia
Gagliole,Gagliole
Gagliole – MappaPosizione del comune di Gagliole nella provincia di Macerata,Gagliole – MappaPosizione del comune di Gagliole nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
