Camerino comune,Camerino comune.1
,
Camerino – Veduta,Camerino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Roberto Lucarelli (lista civica Camerino insieme) dal 13-6-2022
Territorio,Territorio
Coordinate,43°07′54.55″N 13°03′49.79″E
Altitudine,661 m s.l.m.
Superficie,"129,88 km²"
Abitanti,5 939[1] (30-11-2025)
Densità,"45,73 ab./km²"
Frazioni,Vedi sezione
Comuni confinanti,"Caldarola, Castelraimondo, Fiastra, Muccia, Pioraco, Sefro, Serrapetrona, Serravalle di Chienti, Valfornace"
Altre informazioni,Altre informazioni
Cod. postale,62032
Prefisso,0737
Fuso orario,UTC+1
Codice ISTAT,043007
Cod. catastale,B474
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 481 GG[3]"
Nome abitanti,camerti
Patrono,"san Venanzio, sant'Ansovino"
Giorno festivo,18 maggio
Cartografia,Cartografia
Camerino,Camerino
Camerino – MappaPosizione del comune di Camerino nella provincia di Macerata,Camerino – MappaPosizione del comune di Camerino nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
