Camporotondo di Fiastrone comune,Camporotondo di Fiastrone comune.1
,
Camporotondo di Fiastrone – Veduta,Camporotondo di Fiastrone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Massimiliano Micucci (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°07′54.12″N 13°15′57.2″E
Altitudine,335 m s.l.m.
Superficie,"8,81 km²"
Abitanti,461[1] (30-11-2025)
Densità,"52,33 ab./km²"
Comuni confinanti,"Belforte del Chienti, Caldarola, Cessapalombo, San Ginesio, Tolentino"
Altre informazioni,Altre informazioni
Cod. postale,62020
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043008
Cod. catastale,B562
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 032 GG[3]"
Nome abitanti,camporotondesi
Patrono,san Marco
Giorno festivo,25 aprile
Cartografia,Cartografia
Camporotondo di Fiastrone,Camporotondo di Fiastrone
Camporotondo di Fiastrone – MappaPosizione del comune di Camporotondo di Fiastrone nella provincia di Macerata,Camporotondo di Fiastrone – MappaPosizione del comune di Camporotondo di Fiastrone nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
