Ripe San Ginesio comune,Ripe San Ginesio comune.1
,
Ripe San Ginesio – Veduta,Ripe San Ginesio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Paolo Teodori (lista civica) dal 7-6-2009 (4º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°08′33.83″N 13°22′01.74″E
Altitudine,435 m s.l.m.
Superficie,"10,17 km²"
Abitanti,796[1] (30-11-2025)
Densità,"78,27 ab./km²"
Frazioni,"Passo Ripe San Ginesio, Faveto, Villa le Case, Le Case, Castelrotto"
Comuni confinanti,"Colmurano, Loro Piceno, San Ginesio, Sant'Angelo in Pontano"
Altre informazioni,Altre informazioni
Cod. postale,62020
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043045
Cod. catastale,H323
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 143 GG[3]"
Nome abitanti,ripani
Patrono,san Michele Arcangelo
Giorno festivo,8 maggio
Cartografia,Cartografia
Ripe San Ginesio,Ripe San Ginesio
Ripe San Ginesio – MappaPosizione del comune di Ripe San Ginesio nella provincia di Macerata,Ripe San Ginesio – MappaPosizione del comune di Ripe San Ginesio nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
