Morrovalle comune,Morrovalle comune.1
,
"Morrovalle – VedutaMorrovalle visto dai ""Colli bella vista""","Morrovalle – VedutaMorrovalle visto dai ""Colli bella vista"""
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Andrea Staffolani (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,43°18′52.56″N 13°34′50.16″E
Altitudine,246 m s.l.m.
Superficie,"42,58 km²"
Abitanti,9 768[1] (30-11-2025)
Densità,"229,4 ab./km²"
Frazioni,"Borgo Pintura, Morrovalle Scalo, Padri Passionisti, Cunicchio, Santa Lucia, Trodica, Mulinetto"
Comuni confinanti,"Corridonia, Macerata, Monte San Giusto, Montecosaro, Montegranaro (FM), Montelupone"
Altre informazioni,Altre informazioni
Cod. postale,62010
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043033
Cod. catastale,F749
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 995 GG[3]"
Nome abitanti,morrovallesi
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Morrovalle,Morrovalle
Morrovalle – MappaPosizione del comune di Morrovalle nella provincia di Macerata,Morrovalle – MappaPosizione del comune di Morrovalle nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
