Urbisaglia comune,Urbisaglia comune.1
,
Urbisaglia – VedutaTorre nord della rocca di Urbisaglia,Urbisaglia – VedutaTorre nord della rocca di Urbisaglia
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Riccardo Natalini (lista civica Adesso Urbisaglia) dal 10-6-2024
Territorio,Territorio
Coordinate,43°11′50.14″N 13°22′38.42″E
Altitudine,310 m s.l.m.
Superficie,"22,86 km²"
Abitanti,2 362[1] (30-11-2025)
Densità,"103,32 ab./km²"
Frazioni,"Abbadia di Fiastra, Convento, Entogge, Maestà"
Comuni confinanti,"Colmurano, Corridonia, Loro Piceno, Petriolo, Tolentino"
Altre informazioni,Altre informazioni
Cod. postale,62010
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043055
Cod. catastale,L501
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 002 GG[3]"
Nome abitanti,urbisalviensi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Urbisaglia,Urbisaglia
Urbisaglia – MappaPosizione del comune di Urbisaglia nella provincia di Macerata,Urbisaglia – MappaPosizione del comune di Urbisaglia nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
