Montecassiano comune,Montecassiano comune.1
,
Montecassiano – Veduta,Montecassiano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Katia Acciarresi (f.f.) (PD) dal 24-11-2025
Territorio,Territorio
Coordinate,43°21′49.32″N 13°26′09.06″E
Altitudine,215 m s.l.m.
Superficie,"33,36 km²"
Abitanti,6 697[1] (30-11-2025)
Densità,"200,75 ab./km²"
Frazioni,"Sambucheto, Sant'Egidio, Valle Cascia, Vissani"
Comuni confinanti,"Appignano, Macerata, Montefano, Recanati"
Altre informazioni,Altre informazioni
Cod. postale,62010
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043026
Cod. catastale,F454
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 898 GG[3]"
Nome abitanti,montecassianesi
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Montecassiano,Montecassiano
Montecassiano – MappaPosizione del comune di Montecassiano nella provincia di Macerata,Montecassiano – MappaPosizione del comune di Montecassiano nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
