Sefro comune,Sefro comune.1
,
Sefro – Veduta,Sefro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Pietro Tapanelli (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°08′47.04″N 12°56′57.23″E
Altitudine,502 m s.l.m.
Superficie,"42,54 km²"
Abitanti,426[1] (30-11-2025)
Densità,"10,01 ab./km²"
Frazioni,"Agolla, Sorti, Cerreto, Butino, Valle[2]"
Comuni confinanti,"Camerino, Fiuminata, Pioraco, Serravalle di Chienti"
Altre informazioni,Altre informazioni
Cod. postale,62025
Prefisso,0737
Fuso orario,UTC+1
Codice ISTAT,043050
Cod. catastale,I569
Targa,MC
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 221 GG[4]"
Nome abitanti,sefrani o sefrensi
Patrono,Madonna dell'Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Sefro,Sefro
Sefro – MappaPosizione del comune di Sefro nella provincia di Macerata,Sefro – MappaPosizione del comune di Sefro nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
