Montecosaro comune,Montecosaro comune.1
,
Montecosaro – Veduta,Montecosaro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Lorella Cardinali (lista civica Progetto Comune) dal 10-06-2024
Territorio,Territorio
Coordinate,43°19′00.88″N 13°38′07.33″E
Altitudine,252 m s.l.m.
Superficie,"21,88 km²"
Abitanti,7 375[1] (30-11-2025)
Densità,"337,07 ab./km²"
Frazioni,"Borgo Stazione (o Montecosaro Scalo), Casette, Cave, Crocette I, Crocette II, Piani Di Chienti, Pontigliano, Ruano, San Giacomo, Selve"
Comuni confinanti,"Civitanova Marche, Montegranaro (FM), Montelupone, Morrovalle, Potenza Picena, Sant'Elpidio a Mare (FM)"
Altre informazioni,Altre informazioni
Cod. postale,62010
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043028
Cod. catastale,F482
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 934 GG[3]"
Nome abitanti,montecosaresi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Montecosaro,Montecosaro
Montecosaro – MappaPosizione del comune di Montecosaro nella provincia di Macerata,Montecosaro – MappaPosizione del comune di Montecosaro nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
