Montelupone comune,Montelupone comune.1
,
Montelupone – VedutaIl Palazzo dei Priori e Torre civica,Montelupone – VedutaIl Palazzo dei Priori e Torre civica
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Rolando Pecora (lista civica di centro-sinistra) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°20′39.41″N 13°34′03.43″E
Altitudine,272 m s.l.m.
Superficie,"32,67 km²"
Abitanti,3 382[1] (30-11-2025)
Densità,"103,52 ab./km²"
Frazioni,San Firmano
Comuni confinanti,"Macerata, Montecosaro, Morrovalle, Potenza Picena, Recanati"
Altre informazioni,Altre informazioni
Cod. postale,62010
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043030
Cod. catastale,F552
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 958 GG[3]"
Nome abitanti,monteluponesi
Patrono,san Firmano abate
Giorno festivo,11 marzo
Cartografia,Cartografia
Montelupone,Montelupone
Montelupone – MappaPosizione del comune di Montelupone nella provincia di Macerata,Montelupone – MappaPosizione del comune di Montelupone nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
