Poviglio comune,Poviglio comune.1
,
Poviglio – VedutaPiazza Umberto I,Poviglio – VedutaPiazza Umberto I
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Reggio Emilia
Amministrazione,Amministrazione
Sindaco,Filippo Ferrari (lista civica di centro-sinistra Poviglio in dialogo) dal 10-6-2024
Territorio,Territorio
Coordinate,44°50′N 10°33′E
Altitudine,29 m s.l.m.
Superficie,"43,55 km²"
Abitanti,7 219[1] (30-11-2025)
Densità,"165,76 ab./km²"
Frazioni,"Casalpò, Enzola, Fodico, Godezza, San Sisto"
Comuni confinanti,"Boretto, Brescello, Castelnovo di Sotto, Gattatico"
Altre informazioni,Altre informazioni
Cod. postale,42028
Prefisso,0522
Fuso orario,UTC+1
Codice ISTAT,035029
Cod. catastale,G947
Targa,RE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 443 GG[3]"
Nome abitanti,povigliesi
Patrono,santo Stefano protomartire
Giorno festivo,26 dicembre
Cartografia,Cartografia
Poviglio,Poviglio
Poviglio – MappaPosizione del comune di Poviglio nella provincia di Reggio Emilia,Poviglio – MappaPosizione del comune di Poviglio nella provincia di Reggio Emilia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
