Cadelbosco di Sopra comune,Cadelbosco di Sopra comune.1
,
Cadelbosco di Sopra – VedutaIl Municipio,Cadelbosco di Sopra – VedutaIl Municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Reggio Emilia
Amministrazione,Amministrazione
Sindaco,Marino Zani (lista civica Cadelbosco per tutti) dal 10-6-2024
Territorio,Territorio
Coordinate,44°46′N 10°36′E
Altitudine,33 m s.l.m.
Superficie,"43,6 km²"
Abitanti,10 732[1] (30-11-2025)
Densità,"246,15 ab./km²"
Frazioni,"Cadelbosco di Sotto, Villa Argine, Villa Seta, Zurco"
Comuni confinanti,"Bagnolo in Piano, Campegine, Castelnovo di Sotto, Gualtieri, Guastalla, Novellara, Reggio Emilia"
Altre informazioni,Altre informazioni
Cod. postale,42023
Prefisso,0522
Fuso orario,UTC+1
Codice ISTAT,035008
Cod. catastale,B328
Targa,RE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 524 GG[3]"
Nome abitanti,cadelboschesi
Patrono,san Celestino I papa
Giorno festivo,6 aprile
Cartografia,Cartografia
Cadelbosco di Sopra,Cadelbosco di Sopra
Cadelbosco di Sopra – MappaPosizione del comune di Cadelbosco di Sopra nella provincia di Reggio Emilia,Cadelbosco di Sopra – MappaPosizione del comune di Cadelbosco di Sopra nella provincia di Reggio Emilia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
