Carpineti comune,Carpineti comune.1
,
Carpineti – VedutaVeduta generale. Sul monte sovrastante il paese è visibile il castello delle Carpinete,Carpineti – VedutaVeduta generale. Sul monte sovrastante il paese è visibile il castello delle Carpinete
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Reggio Emilia
Amministrazione,Amministrazione
Sindaco,Giuseppe Ruggi (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,44°27′24″N 10°31′14″E
Altitudine,562 m s.l.m.
Superficie,"89,57 km²"
Abitanti,3 906[1] (30-11-2025)
Densità,"43,61 ab./km²"
Frazioni,"Bera, Branciglia (Bransia), Busanella, Ca' Benno, Ca' de Beretti (Cà di Brèt), Ca' de Lanzi, Ca' Dorsini, Ca' Morelli, Campo dell'Oppio (Candalòpi), Campovecchio (Campvècc), Cantigalli (Cantigâj), Ceriola (Sariola), Cigarello (Sigarèl), Colombaia (Clumbâra), Costa di Iatica, Giavello (Giavèl), Iatica (Jâdga), Ibatica (Ibâdga), La Svolta, Le Casette, Marola, Migliara (Miâra), Montelago (Muntlagh), Onfiano (Unfiân), Pantano (Pantan), Poiago (Puiagh), Pontone (Puntun), Riana (Riana), Rola, Saccaggio (Sacâṣ), San Donnino, Savognatica (Savgnadga), Seminario, Spignana (Spignâna), Tincana (Tincâna), Valestra (Valestra), Velluciana, Villa, Villaprara (Vìla Prara)"
Comuni confinanti,"Baiso, Casina, Castelnovo ne' Monti, Toano, Viano, Villa Minozzo"
Altre informazioni,Altre informazioni
Cod. postale,42033
Prefisso,0522
Fuso orario,UTC+1
Codice ISTAT,035011
Cod. catastale,B825
Targa,RE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 982 GG[3]"
Nome abitanti,carpinetani
Patrono,san Prospero di Reggio Emilia
Giorno festivo,24 novembre
Cartografia,Cartografia
Carpineti,Carpineti
Carpineti – MappaPosizione del comune di Carpineti nella provincia di Reggio Emilia,Carpineti – MappaPosizione del comune di Carpineti nella provincia di Reggio Emilia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
