Quattro Castella comune,Quattro Castella comune.1
,
Quattro Castella – VedutaPiazza Dante,Quattro Castella – VedutaPiazza Dante
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Reggio Emilia
Amministrazione,Amministrazione
Sindaco,Alberto Olmi (lista civica di centro-sinistra Quattro Castella democratica) dal 27-5-2019
Territorio,Territorio
Coordinate,44°38′N 10°28′E
Altitudine,165 m s.l.m.
Superficie,"46,31 km²"
Abitanti,13 221[1] (30-11-2025)
Densità,"285,49 ab./km²"
Frazioni,"Montecavolo, Puianello, Roncolo, Salvarano, Rubbianino"
Comuni confinanti,"Albinea, Bibbiano, Reggio Emilia, San Polo d'Enza, Vezzano sul Crostolo"
Altre informazioni,Altre informazioni
Cod. postale,42020
Prefisso,0522
Fuso orario,UTC+1
Codice ISTAT,035030
Cod. catastale,H122
Targa,RE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 400 GG[3]"
Nome abitanti,castellesi
Patrono,sant'Antonino
Giorno festivo,2 settembre
Cartografia,Cartografia
Quattro Castella,Quattro Castella
Quattro Castella – MappaPosizione del comune di Quattro Castella nella provincia di Reggio Emilia,Quattro Castella – MappaPosizione del comune di Quattro Castella nella provincia di Reggio Emilia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
