Correggio comune,Correggio comune.1
,
Correggio – VedutaCorso Giuseppe Mazzini,Correggio – VedutaCorso Giuseppe Mazzini
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Reggio Emilia
Amministrazione,Amministrazione
Sindaco,Fabio Testi (centro-sinistra) dal 15-5-2023
Territorio,Territorio
Coordinate,44°46′18″N 10°46′50″E
Altitudine,33 m s.l.m.
Superficie,"77,51 km²"
Abitanti,25 246[1] (30-11-2025)
Densità,"325,71 ab./km²"
Frazioni,"Budrio, Canolo, Fazzano, Fosdondo, Lemizzone, Mandrio, Mandriolo, Prato, San Biagio, San Martino Piccolo, San Prospero"
Comuni confinanti,"Bagnolo in Piano, Campagnola Emilia, Campogalliano (MO), Carpi (MO), Novellara, Reggio Emilia, Rio Saliceto, San Martino in Rio"
Altre informazioni,Altre informazioni
Cod. postale,42015
Prefisso,0522
Fuso orario,UTC+1
Codice ISTAT,035020
Cod. catastale,D037
Targa,RE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 521 GG[3]"
Nome abitanti,correggesi
Patrono,san Quirino di Siscia
Giorno festivo,4 giugno
Cartografia,Cartografia
Correggio,Correggio
Correggio – MappaPosizione del comune di Correggio nella provincia di Reggio Emilia,Correggio – MappaPosizione del comune di Correggio nella provincia di Reggio Emilia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
