Gattatico comune,Gattatico comune.1
,
Gattatico – Veduta,Gattatico – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Reggio Emilia
Amministrazione,Amministrazione
Sindaco,Daniele Finucci[1] (lista civica Uniti per cambiare) dal 10-6-2024
Territorio,Territorio
Coordinate,44°48′N 10°28′E
Altitudine,40 m s.l.m.
Superficie,"42,15 km²"
Abitanti,5 823[2] (30-11-2025)
Densità,"138,15 ab./km²"
Frazioni,"Gattatico, Cantone, Case Reverberi, Nocetolo, Olmo, Paulli, Fiesso, Ponte Enza, Praticello (sede comunale), Taneto"
Comuni confinanti,"Brescello, Campegine, Castelnovo di Sotto, Parma (PR), Poviglio, Sant'Ilario d'Enza, Sorbolo Mezzani (PR)"
Altre informazioni,Altre informazioni
Cod. postale,42043
Prefisso,0522
Fuso orario,UTC+1
Codice ISTAT,035022
Cod. catastale,D934
Targa,RE
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 367 GG[4]"
Nome abitanti,gattaticesi
Cartografia,Cartografia
Gattatico,Gattatico
Gattatico – MappaPosizione del comune di Gattatico nella provincia di Reggio Emilia,Gattatico – MappaPosizione del comune di Gattatico nella provincia di Reggio Emilia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
