Sant'Ilario d'Enza comune,Sant'Ilario d'Enza comune.1
,
Sant'Ilario d'Enza – VedutaVia Roma,Sant'Ilario d'Enza – VedutaVia Roma
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Reggio Emilia
Amministrazione,Amministrazione
Sindaco,Marcello Moretti (Partito Democratico e lista civica di centro-sinistra Sant'Ilario futura) dal 9-6-2024[1]
Territorio,Territorio
Coordinate,44°45′06.89″N 10°28′17.15″E
Altitudine,59 m s.l.m.
Superficie,"20,23 km²"
Abitanti,11 435[2] (30-11-2025)
Densità,"565,25 ab./km²"
Frazioni,"Bettolino, Ca Bianca, Calerno, Cantone, Case Paterlini, Case Zinani, Castellana, Chiavicone, Falconara, Gallo, Gazzaro, Ghiaia, Partitore, Rampa d'Enza (Rampata), San Rocco"
Comuni confinanti,"Campegine, Gattatico, Montecchio Emilia, Montechiarugolo (PR), Parma (PR), Reggio Emilia"
Altre informazioni,Altre informazioni
Cod. postale,42049
Prefisso,0522
Fuso orario,UTC+1
Codice ISTAT,035039
Cod. catastale,I342
Targa,RE
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 531 GG[4]"
Nome abitanti,santilariesi
Patrono,sant'Eulalia di Mérida
Giorno festivo,10 dicembre
Cartografia,Cartografia
Sant'Ilario d'Enza,Sant'Ilario d'Enza
Sant'Ilario d'Enza – MappaPosizione del comune di Sant'Ilario d'Enza nella provincia di Reggio Emilia,Sant'Ilario d'Enza – MappaPosizione del comune di Sant'Ilario d'Enza nella provincia di Reggio Emilia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
