Brescello comune,Brescello comune.1
,
Brescello – VedutaPiazza Matteotti,Brescello – VedutaPiazza Matteotti
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Reggio Emilia
Amministrazione,Amministrazione
Sindaco,Carlo Fiumicino (lista civica di centro-sinistra) dal 15-5-2023
Territorio,Territorio
Coordinate,44°54′N 10°31′E
Altitudine,24 m s.l.m.
Superficie,"24,04 km²"
Abitanti,5 576[1] (30-11-2025)
Densità,"231,95 ab./km²"
Frazioni,"Coenzo a Mane, Ghiarole, Lentigione, Sorbolo a Mane"
Comuni confinanti,"Boretto, Gattatico, Poviglio, Sorbolo Mezzani (PR), Viadana (MN)"
Altre informazioni,Altre informazioni
Cod. postale,42041
Prefisso,0522
Fuso orario,UTC+1
Codice ISTAT,035006
Cod. catastale,B156
Targa,RE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 436 GG[3]"
Nome abitanti,brescellesi
Patrono,san Genesio
Giorno festivo,25 agosto
Cartografia,Cartografia
Brescello,Brescello
Brescello – MappaPosizione del comune di Brescello nella provincia di Reggio Emilia,Brescello – MappaPosizione del comune di Brescello nella provincia di Reggio Emilia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
