Ventasso comune,Ventasso comune.1
,
Ventasso – VedutaLago di Calamone e Ventasso,Ventasso – VedutaLago di Calamone e Ventasso
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Reggio Emilia
Amministrazione,Amministrazione
Sindaco,Enrico Ferretti (lista civica di centro-destra) dal 4-10-2021
Data di istituzione,1º gennaio 2016
Territorio,Territorio
Coordinate,44°22′N 10°19′E
Altitudine,810 m s.l.m.
Superficie,"258,18 km²"
Abitanti,3 826[1] (30-11-2025)
Densità,"14,82 ab./km²"
Comuni confinanti,"Castelnovo ne' Monti, Comano (MS), Fivizzano (MS), Monchio delle Corti (PR), Palanzano (PR), Sillano Giuncugnano (LU), Vetto, Villa Minozzo"
Altre informazioni,Altre informazioni
Cod. postale,42032
Prefisso,0522
Fuso orario,UTC+1
Codice ISTAT,035046
Cod. catastale,M364
Targa,RE
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,ventassini
Cartografia,Cartografia
Ventasso,Ventasso
Ventasso – MappaPosizione del comune di Ventasso nella provincia di Reggio Emilia,Ventasso – MappaPosizione del comune di Ventasso nella provincia di Reggio Emilia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
