Montecchio Emilia comune,Montecchio Emilia comune.1
,
Montecchio Emilia – VedutaPanorama sul centro dal mastio del castello,Montecchio Emilia – VedutaPanorama sul centro dal mastio del castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Reggio Emilia
Amministrazione,Amministrazione
Sindaco,Fausto Torelli (centro-sinistra) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°41′55″N 10°26′55″E
Altitudine,99 m s.l.m.
Superficie,"24,39 km²"
Abitanti,10 452[1] (30-11-2025)
Densità,"428,54 ab./km²"
Frazioni,"Villa Aiola, Case Gambetti, Case Pozzi, l. Case Badodi, l. Croce"
Comuni confinanti,"Bibbiano, Montechiarugolo (PR), Reggio Emilia, San Polo d'Enza, Sant'Ilario d'Enza, Cavriago"
Altre informazioni,Altre informazioni
Cod. postale,42027
Prefisso,0522
Fuso orario,UTC+1
Codice ISTAT,035027
Cod. catastale,F463
Targa,RE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 586 GG[3]"
Nome abitanti,montecchiesi
Patrono,san Donnino
Giorno festivo,28 ottobre
Cartografia,Cartografia
Montecchio Emilia,Montecchio Emilia
Montecchio Emilia – MappaPosizione del comune di Montecchio Emilia nella provincia di Reggio Emilia,Montecchio Emilia – MappaPosizione del comune di Montecchio Emilia nella provincia di Reggio Emilia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
