Castellarano comune,Castellarano comune.1
,
Castellarano – VedutaRocchetta,Castellarano – VedutaRocchetta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Reggio Emilia
Amministrazione,Amministrazione
Sindaco,Giorgio Zanni (lista civica di centro-sinistra Castellarano bene comune) dal 5-6-2016 (2º mandato dal 5-10-2021)
Territorio,Territorio
Coordinate,44°30′50″N 10°44′02″E
Altitudine,149 m s.l.m.
Superficie,"58,06 km²"
Abitanti,15 147[1] (30-11-2025)
Densità,"260,89 ab./km²"
Frazioni,"• Castellarano Alto •Cà de Fii • Ca' de Grimaldi • Ca' de Ravazzini • Cadiroggio • Case Ferri • Castello La Croce • Farneto di Sotto • Le Ville • Le Malee • Montebabbio • Pradivia • Roteglia • San Valentino, •Scuole • Telarolo Tressano •"
Comuni confinanti,"Baiso, Casalgrande, Prignano sulla Secchia (MO), Sassuolo (MO), Scandiano, Viano"
Altre informazioni,Altre informazioni
Cod. postale,42014
Prefisso,0536
Fuso orario,UTC+1
Codice ISTAT,035014
Cod. catastale,C141
Targa,RE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 383 GG[3]"
Nome abitanti,castellaranesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Castellarano,Castellarano
Castellarano – MappaPosizione del comune di Castellarano nella provincia di Reggio Emilia,Castellarano – MappaPosizione del comune di Castellarano nella provincia di Reggio Emilia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
