Rubiera comune,Rubiera comune.1
,
Rubiera – Veduta,Rubiera – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Reggio Emilia
Amministrazione,Amministrazione
Sindaco,Emanuele Cavallaro (lista civica di centro-sinistra) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°39′N 10°47′E
Altitudine,53 m s.l.m.
Superficie,"25,19 km²"
Abitanti,14 519[1] (30-11-2025)
Densità,"576,38 ab./km²"
Frazioni,"Fontana di Rubiera, San Faustino, Sant'Agata"
Comuni confinanti,"Campogalliano (MO), Casalgrande, Modena (MO), Reggio Emilia, San Martino in Rio"
Altre informazioni,Altre informazioni
Cod. postale,42048
Prefisso,0522
Fuso orario,UTC+1
Codice ISTAT,035036
Cod. catastale,H628
Targa,RE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 419 GG[3]"
Nome abitanti,rubieresi
Patrono,san Biagio
Giorno festivo,3 febbraio
PIL procapite,(nominale) 34500
Cartografia,Cartografia
Rubiera,Rubiera
Rubiera – MappaPosizione del comune di Rubiera nella provincia di Reggio Emilia,Rubiera – MappaPosizione del comune di Rubiera nella provincia di Reggio Emilia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
