Castelnovo di Sotto comune,Castelnovo di Sotto comune.1
,
Castelnovo di Sotto – Veduta,Castelnovo di Sotto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Reggio Emilia
Amministrazione,Amministrazione
Sindaco,Francesco Monica (PD) dall'11-6-2018 (2º mandato dal 15-6-2023)
Territorio,Territorio
Coordinate,44°49′N 10°34′E
Altitudine,27 m s.l.m.
Superficie,"35,01 km²"
Abitanti,8 694[1] (30-11-2025)
Densità,"248,33 ab./km²"
Frazioni,"Case Melli, Meletole, San Savino, Villa Cogruzzo"
Comuni confinanti,"Boretto, Cadelbosco di Sopra, Campegine, Gattatico, Gualtieri, Poviglio"
Altre informazioni,Altre informazioni
Cod. postale,42024
Prefisso,0522
Fuso orario,UTC+1
Codice ISTAT,035015
Cod. catastale,C218
Targa,RE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 441 GG[3]"
Nome abitanti,castelnovesi
Patrono,sant'Andrea Apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Castelnovo di Sotto,Castelnovo di Sotto
Castelnovo di Sotto – MappaPosizione del comune di Castelnovo di Sotto nella provincia di Reggio Emilia,Castelnovo di Sotto – MappaPosizione del comune di Castelnovo di Sotto nella provincia di Reggio Emilia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
