San Polo d'Enza comune,San Polo d'Enza comune.1
,
San Polo d'Enza – VedutaRocca,San Polo d'Enza – VedutaRocca
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Reggio Emilia
Amministrazione,Amministrazione
Sindaco,Franco Palù (lista civica di centro-sinistra) dall'11-6-2018
Territorio,Territorio
Coordinate,44°38′N 10°26′E
Altitudine,166 m s.l.m.
Superficie,"32,29 km²"
Abitanti,6 143[1] (30-11-2025)
Densità,"190,24 ab./km²"
Frazioni,"Barcaccia, Grassano, Pontenovo, Borsea, Cornacchia."
Comuni confinanti,"Bibbiano, Canossa, Montecchio Emilia, Montechiarugolo (PR), Quattro Castella, Traversetolo (PR), Vezzano sul Crostolo"
Altre informazioni,Altre informazioni
Cod. postale,42020
Prefisso,0522
Fuso orario,UTC+1
Codice ISTAT,035038
Cod. catastale,I123
Targa,RE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 408 GG[3]"
Nome abitanti,sampolesi
Patrono,san Paolo
Giorno festivo,25 gennaio
Cartografia,Cartografia
San Polo d'Enza,San Polo d'Enza
San Polo d'Enza – MappaPosizione del comune di San Polo d'Enza nella provincia di Reggio Emilia,San Polo d'Enza – MappaPosizione del comune di San Polo d'Enza nella provincia di Reggio Emilia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
