Reggio Emilia comune,Reggio Emilia comune.1
Città di Reggio nell'Emilia,Città di Reggio nell'Emilia
(dettagli),(dettagli)
Reggio Emilia – VedutaVista panoramica della città.,Reggio Emilia – VedutaVista panoramica della città.
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Reggio Emilia
Amministrazione,Amministrazione
Sindaco,Marco Massari (indipendente di centro-sinistra) dal 21-6-2024
Data di istituzione,1136 (primo documento)
Territorio,Territorio
Coordinate,44°42′N 10°38′E
Altitudine,56 m s.l.m.
Superficie,"230,66[1] km²"
Abitanti,172 959[2] (30-11-2025)
Densità,"749,84 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,"Albinea, Bagnolo in Piano, Bibbiano, Cadelbosco di Sopra, Campegine, Casalgrande, Cavriago, Correggio, Montecchio Emilia, Quattro Castella, Rubiera, San Martino in Rio, Sant'Ilario d'Enza, Scandiano"
Altre informazioni,Altre informazioni
Cod. postale,42121–42124
Prefisso,0522
Fuso orario,UTC+1
Codice ISTAT,035033
Cod. catastale,H223
Targa,RE
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 560 GG[4]"
Nome abitanti,reggiani (arzân in dialetto locale)
Patrono,san Prospero vescovo
Giorno festivo,24 novembre
PIL procapite,"(nominale) 27357 € (anno 2013, fonte: Istituto ""G. Tagliacarne"" - Roma)"
Soprannome,Città del Tricolore
Motto,Pace belloque fidelis (Fedele in pace e in guerra)
Cartografia,Cartografia
Reggio Emilia,Reggio Emilia
Reggio Emilia – MappaPosizione del comune di Reggio Emilia nella provincia di Reggio Emilia,Reggio Emilia – MappaPosizione del comune di Reggio Emilia nella provincia di Reggio Emilia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
