Castelnovo ne' Monti comune,Castelnovo ne' Monti comune.1
,
Castelnovo ne' Monti – Veduta,Castelnovo ne' Monti – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Reggio Emilia
Amministrazione,Amministrazione
Sindaco,Emanuele Ferrari (lista civica Insieme per Castelnovo) dal 9-6-2024
Territorio,Territorio
Coordinate,44°26′N 10°24′E
Altitudine,700 m s.l.m.
Superficie,"96,68 km²"
Abitanti,10 428[1] (30-11-2025)
Densità,"107,86 ab./km²"
Frazioni,"Bellaria, Bellessere, Berzana, Bondolo, Bora del Musso, Burano, Ca' del Cavo, Ca' del Grosso, Ca' di Magnano, Ca' di Scatola, Campiliola, Campolungo, Capanna, Ca' Pavoni, Carnola, Casa della Carità, Casale di Bismantova, Case di Sopra, Case Perizzi, Casino, Castagnedolo, Cerreto, Chiesa, Cinqueterre, Colombaia, Costa de' Grassi, Croce, Eremo Bismantova, Fariolo, Felina, Felinamata, Frascaro, Garfagnolo, Gatta, Ginepreto, Gombio, Maillo, Maro, Monchio, Monchio di Villaberza, Monte Bagnolo, Monte Castagneto, Monte Castello, Monteduro, Monticello, Mozzola, Noce, Parisola, Pietrebianche, Pioppella, Pregheffio, Quarqua, Regnola, Rio, Rivolvecchio, Roncadelli, Ronchi, Roncroffio, Schiezza, Soraggio, Sparavalle, Terminaccio, Vezzolo, Vigolo, Virola, Vologno di Sotto, Zugognago"
Comuni confinanti,"Canossa, Carpineti, Casina, Ventasso, Vetto, Villa Minozzo"
Altre informazioni,Altre informazioni
Cod. postale,42035
Prefisso,0522
Fuso orario,UTC+1
Codice ISTAT,035016
Cod. catastale,C219
Targa,RE
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,castelnovesi
Patrono,san Pancrazio
Giorno festivo,12 maggio
Cartografia,Cartografia
Castelnovo ne' Monti,Castelnovo ne' Monti
Castelnovo ne' Monti – MappaPosizione del comune di Castelnovo ne' Monti nella provincia di Reggio Emilia,Castelnovo ne' Monti – MappaPosizione del comune di Castelnovo ne' Monti nella provincia di Reggio Emilia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
