Canossa comune,Canossa comune.1
,
Canossa – VedutaCastello di Canossa,Canossa – VedutaCastello di Canossa
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Reggio Emilia
Amministrazione,Amministrazione
Sindaco,Luca Bolondi (lista civica) dal 1-6-2015 (2º mandato dal 22-9-2020)
Territorio,Territorio
Coordinate,44°34′24.8″N 10°27′19.11″E
Altitudine,219 m s.l.m.
Superficie,"53,08 km²"
Abitanti,3 790[1] (30-11-2025)
Densità,"71,4 ab./km²"
Frazioni,"Albareto, Borzano Chiesa, Borzano di Sopra, Borzano di Sotto, Braglie, Casalino, Cavandola, Ceredolo de' Coppi, Cerezzola, Ciano d'Enza (sede comunale), Compiano, Crognolo, Currada, Dirotte, Fornace, Gazzolo, Iagarone, Massalica, Monchio delle Olle, Pietranera, Roncaglio, Roncovetro, Rossena, Selva, Selvapiana, Solara, Trinità, Vedriano, Verlano, Votigno"
Comuni confinanti,"Casina, Castelnovo ne' Monti, Neviano degli Arduini (PR), San Polo d'Enza, Traversetolo (PR), Vetto, Vezzano sul Crostolo"
Altre informazioni,Altre informazioni
Cod. postale,42026
Prefisso,0522
Fuso orario,UTC+1
Codice ISTAT,035018
Cod. catastale,C669
Targa,RE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 484 GG[3]"
Nome abitanti,canossani
Patrono,san Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Canossa,Canossa
Canossa – MappaPosizione del comune di Canossa nella provincia di Reggio Emilia,Canossa – MappaPosizione del comune di Canossa nella provincia di Reggio Emilia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
