Scandiano comune,Scandiano comune.1
,
Scandiano – VedutaTorre dell'Orologio,Scandiano – VedutaTorre dell'Orologio
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Reggio Emilia
Amministrazione,Amministrazione
Sindaco,Matteo Nasciuti (PD) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°35′33″N 10°41′16″E
Altitudine,95 m s.l.m.
Superficie,"50,05 km²"
Abitanti,25 980[1] (30-11-2025)
Densità,"519,08 ab./km²"
Frazioni,"Arceto, Bosco, Cacciola, Ca' de' Caroli, Mazzalasino, Chiozza, Fellegara, Iano, Pratissolo, Rondinara, San Ruffino, Ventoso"
Comuni confinanti,"Albinea, Casalgrande, Castellarano, Reggio Emilia, Viano"
Altre informazioni,Altre informazioni
Cod. postale,42019
Prefisso,0522
Fuso orario,UTC+1
Codice ISTAT,035040
Cod. catastale,I496
Targa,RE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 473 GG[3]"
Nome abitanti,scandianesi
Patrono,santa Caterina d'Alessandria
Giorno festivo,25 novembre
Cartografia,Cartografia
Scandiano,Scandiano
Scandiano – MappaPosizione del comune di Scandiano nella provincia di Reggio Emilia,Scandiano – MappaPosizione del comune di Scandiano nella provincia di Reggio Emilia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
