Campegine comune,Campegine comune.1
,
Campegine – Veduta,Campegine – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Reggio Emilia
Amministrazione,Amministrazione
Sindaco,Alessandro Spanò (lista civica di centro-sinistra Insieme per Campegine) dal 12-6-2022
Territorio,Territorio
Coordinate,44°47′04″N 10°31′58″E
Altitudine,35 m s.l.m.
Superficie,"22,62 km²"
Abitanti,5 426[1] (30-11-2025)
Densità,"239,88 ab./km²"
Frazioni,"Caprara, Case Cocconi, Lora"
Comuni confinanti,"Cadelbosco di Sopra, Castelnovo di Sotto, Gattatico, Reggio Emilia, Sant'Ilario d'Enza"
Altre informazioni,Altre informazioni
Cod. postale,42040
Prefisso,0522
Fuso orario,UTC+1
Codice ISTAT,035010
Cod. catastale,B502
Targa,RE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 458 GG[3]"
Nome abitanti,campeginesi
Patrono,San Pietro e San Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Campegine,Campegine
Campegine – MappaPosizione del comune di Campegine nella provincia di Reggio Emilia,Campegine – MappaPosizione del comune di Campegine nella provincia di Reggio Emilia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
