Casalgrande comune,Casalgrande comune.1
,
Casalgrande – Vedutail castello medievale di Casalgrande,Casalgrande – Vedutail castello medievale di Casalgrande
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Reggio Emilia
Amministrazione,Amministrazione
Sindaco,Giuseppe Daviddi (lista civica indipendente) dal 10-6-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°35′23.1″N 10°44′21.91″E
Altitudine,97 m s.l.m.
Superficie,"37,71 km²"
Abitanti,19 030[1] (30-11-2025)
Densità,"504,64 ab./km²"
Frazioni,"Casalgrande Alto, Dinazzano, Salvaterra, San Donnino di Liguria, Sant'Antonino, Veggia, Villalunga"
Comuni confinanti,"Castellarano, Formigine (MO), Modena (MO), Reggio Emilia, Rubiera, Sassuolo (MO), Scandiano"
Altre informazioni,Altre informazioni
Cod. postale,42013
Prefisso,0522/0536
Fuso orario,UTC+1
Codice ISTAT,035012
Cod. catastale,B893
Targa,RE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 612 GG[3]"
Nome abitanti,casalgrandesi
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Casalgrande,Casalgrande
Casalgrande – MappaPosizione del comune di Casalgrande nella provincia di Reggio Emilia.,Casalgrande – MappaPosizione del comune di Casalgrande nella provincia di Reggio Emilia.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
