Rio Saliceto comune,Rio Saliceto comune.1
,
Rio Saliceto – Veduta,Rio Saliceto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Reggio Emilia
Amministrazione,Amministrazione
Sindaco,Daniele Pietri (centro-sinistra) dal 9-6-2024
Territorio,Territorio
Coordinate,44°49′N 10°48′E
Altitudine,24 m s.l.m.
Superficie,"22,56 km²"
Abitanti,6 097[1] (30-11-2025)
Densità,"270,26 ab./km²"
Frazioni,"Ca' de' Frati, Osteriola, San Lodovico"
Comuni confinanti,"Campagnola Emilia, Carpi (MO), Correggio, Fabbrico"
Altre informazioni,Altre informazioni
Cod. postale,42010
Prefisso,0522
Fuso orario,UTC+1
Codice ISTAT,035034
Cod. catastale,H298
Targa,RE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 377 GG[3]"
Nome abitanti,riesi
Patrono,san Giorgio Martire
Giorno festivo,23 aprile
Cartografia,Cartografia
Rio Saliceto,Rio Saliceto
Rio Saliceto – MappaPosizione del comune di Rio Saliceto nella provincia di Reggio Emilia,Rio Saliceto – MappaPosizione del comune di Rio Saliceto nella provincia di Reggio Emilia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
