Poggibonsi comune,Poggibonsi comune.1
,
Poggibonsi – VedutaPanorama di Poggibonsi,Poggibonsi – VedutaPanorama di Poggibonsi
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Siena
Amministrazione,Amministrazione
Sindaco,Susanna Cenni (PD) dal 26-06-2024
Territorio,Territorio
Coordinate,43°28′N 11°09′E
Altitudine,116 m s.l.m.
Superficie,"70,59 km²"
Abitanti,28 077[1] (30-11-2025)
Densità,"397,75 ab./km²"
Frazioni,"Bellavista, Staggia Senese[2]"
Comuni confinanti,"Barberino Tavarnelle (FI), Castellina in Chianti, Colle di Val d'Elsa, Monteriggioni, San Gimignano"
Altre informazioni,Altre informazioni
Cod. postale,53036
Prefisso,0577
Fuso orario,UTC+1
Codice ISTAT,052022
Cod. catastale,G752
Targa,SI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 984 GG[4]"
Nome abitanti,valdelsani[5]; poggibonsesi; poggibonizzesi (antico); poggibonziani (antico) [6]
Patrono,san Lucchese
Giorno festivo,28 aprile
Cartografia,Cartografia
Poggibonsi,Poggibonsi
Poggibonsi – MappaPosizione del comune di Poggibonsi all'interno della provincia di Siena,Poggibonsi – MappaPosizione del comune di Poggibonsi all'interno della provincia di Siena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
