Sovicille comune,Sovicille comune.1
,
Sovicille – VedutaVeduta del centro storico,Sovicille – VedutaVeduta del centro storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Siena
Amministrazione,Amministrazione
Sindaco,Giuseppe Gugliotti (centro-sinistra) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,43°17′N 11°14′E
Altitudine,265 m s.l.m.
Superficie,"143,61 km²"
Abitanti,9 857[1] (30-11-2025)
Densità,"68,64 ab./km²"
Frazioni,"Ancaiano, Brenna, Orgia, Rosia, San Rocco a Pilli, Tegoia, Torri, Volte Basse[2]"
Comuni confinanti,"Casole d'Elsa, Chiusdino, Monteriggioni, Monteroni d'Arbia, Monticiano, Murlo, Siena"
Altre informazioni,Altre informazioni
Cod. postale,53018
Prefisso,0577
Fuso orario,UTC+1
Codice ISTAT,052034
Cod. catastale,I877
Targa,SI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 797 GG[4]"
Nome abitanti,sovicillini[5]
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Sovicille,Sovicille
Sovicille – MappaPosizione del comune di Sovicille all'interno della provincia di Siena,Sovicille – MappaPosizione del comune di Sovicille all'interno della provincia di Siena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
