Murlo comune,Murlo comune.1
,
Murlo – VedutaPanorama del castello di Murlo,Murlo – VedutaPanorama del castello di Murlo
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Siena
Amministrazione,Amministrazione
Sindaco,Davide Ricci (lista civica Insieme per Murlo) dal 27-5-2019 (2° mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°10′16″N 11°23′32″E
Altitudine,294 m s.l.m.
Superficie,"114,61 km²"
Abitanti,2 463[1] (30-11-2025)
Densità,"21,49 ab./km²"
Frazioni,"Bagnaia, Casciano, La Befa, Montepescini, Vescovado, Vallerano"
Comuni confinanti,"Buonconvento, Civitella Paganico (GR), Montalcino, Monteroni d'Arbia, Monticiano, Sovicille"
Altre informazioni,Altre informazioni
Cod. postale,53016
Prefisso,0577
Fuso orario,UTC+1
Codice ISTAT,052019
Cod. catastale,F815
Targa,SI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 846 GG[3]"
Nome abitanti,murlesi[4]
Patrono,san Fortunato
Giorno festivo,12 luglio
Cartografia,Cartografia
Murlo,Murlo
Murlo – MappaPosizione del comune di Murlo all'interno della provincia di Siena,Murlo – MappaPosizione del comune di Murlo all'interno della provincia di Siena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
