Gaiole in Chianti comune,Gaiole in Chianti comune.1
,
Gaiole in Chianti – VedutaPanorama di Gaiole in Chianti,Gaiole in Chianti – VedutaPanorama di Gaiole in Chianti
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Siena
Amministrazione,Amministrazione
Sindaco,Michele Pescini (centro-sinistra) dall'8-6-2009 (3º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,43°28′N 11°26′E
Altitudine,360 m s.l.m.
Superficie,"128,89 km²"
Abitanti,2 462[1] (30-11-2025)
Densità,"19,1 ab./km²"
Frazioni,"Adine, Ama, Barbischio, Castagnoli, Lecchi, Lucignano, Montegrossi, Monti, Nusenna, Poggio San Polo, Rietine, San Regolo, San Sano, San Vincenti, Starda, Vertine"
Comuni confinanti,"Bucine (AR), Castelnuovo Berardenga, Cavriglia (AR), Montevarchi (AR), Radda in Chianti"
Altre informazioni,Altre informazioni
Cod. postale,53013
Prefisso,0577
Fuso orario,UTC+1
Codice ISTAT,052013
Cod. catastale,D858
Targa,SI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 958 GG[3]"
Nome abitanti,gaiolesi[4]
Patrono,san Sigismondo
Cartografia,Cartografia
Gaiole in Chianti,Gaiole in Chianti
Gaiole in Chianti – MappaPosizione del comune di Gaiole in Chianti all'interno della provincia di Siena,Gaiole in Chianti – MappaPosizione del comune di Gaiole in Chianti all'interno della provincia di Siena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
