Buonconvento comune,Buonconvento comune.1
,
Buonconvento – VedutaLa torre civica,Buonconvento – VedutaLa torre civica
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Siena
Amministrazione,Amministrazione
Sindaco,Riccardo Conti (lista civica di centro-sinistra Uniti per Buonconvento) dal 27-5-2019
Territorio,Territorio
Coordinate,43°08′N 11°29′E
Altitudine,147 m s.l.m.
Superficie,"64,84 km²"
Abitanti,2 941[1] (30-11-2025)
Densità,"45,36 ab./km²"
Frazioni,"Bibbiano, Ponte d'Arbia, Serravalle"
Comuni confinanti,"Asciano, Montalcino, Monteroni d'Arbia, Murlo"
Altre informazioni,Altre informazioni
Cod. postale,53022
Prefisso,0577
Fuso orario,UTC+1
Codice ISTAT,052003
Cod. catastale,B269
Targa,SI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 598 GG[3]"
Nome abitanti,"buonconventini, bocconventini (dialetto)"
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Buonconvento,Buonconvento
Buonconvento – MappaPosizione del comune di Buonconvento all'interno della provincia di Siena,Buonconvento – MappaPosizione del comune di Buonconvento all'interno della provincia di Siena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
