Rapolano Terme comune,Rapolano Terme comune.1
,
Rapolano Terme – VedutaPanorama di Rapolano Terme,Rapolano Terme – VedutaPanorama di Rapolano Terme
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Siena
Amministrazione,Amministrazione
Sindaco,Alessandro Starnini (centro-sinistra) dal 27-5-2019
Territorio,Territorio
Coordinate,43°17′N 11°36′E
Altitudine,334 m s.l.m.
Superficie,"83,04 km²"
Abitanti,5 100[1] (30-11-2025)
Densità,"61,42 ab./km²"
Frazioni,"Armaiolo, Modanella, Poggio Santa Cecilia, San Gimignanello, Serre di Rapolano[2]"
Comuni confinanti,"Asciano, Bucine (AR), Castelnuovo Berardenga, Lucignano (AR), Monte San Savino (AR), Sinalunga, Trequanda"
Altre informazioni,Altre informazioni
Cod. postale,53040
Prefisso,0577
Fuso orario,UTC+1
Codice ISTAT,052026
Cod. catastale,H185
Targa,SI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 914 GG[4]"
Nome abitanti,rapolanesi[5]
Patrono,Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Rapolano Terme,Rapolano Terme
Rapolano Terme – MappaPosizione del comune di Rapolano Terme all'interno della provincia di Siena,Rapolano Terme – MappaPosizione del comune di Rapolano Terme all'interno della provincia di Siena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
