Chiusi comune,Chiusi comune.1
,
Chiusi – Veduta,Chiusi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Siena
Amministrazione,Amministrazione
Sindaco,Gianluca Sonnini (centro-sinistra) dal 4-10-2021
Territorio,Territorio
Coordinate,43°01′N 11°57′E
Altitudine,398 m s.l.m.
Superficie,"58,15 km²"
Abitanti,8 058[1] (30-11-2025)
Densità,"138,57 ab./km²"
Frazioni,"Chiusi Scalo, Macciano, Montallese, Querce al Pino"
Comuni confinanti,"Castiglione del Lago (PG), Cetona, Chianciano Terme, Città della Pieve (PG), Montepulciano, Sarteano"
Altre informazioni,Altre informazioni
Cod. postale,53043
Prefisso,0578
Fuso orario,UTC+1
Codice ISTAT,052011
Cod. catastale,C662
Targa,SI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 2 022 GG[3]"
Nome abitanti,chiusini[4]; chiucini (antico)[4]
Patrono,santa Mustiola e san Secondiano
Giorno festivo,3 luglio
Cartografia,Cartografia
Chiusi,Chiusi
Chiusi – MappaPosizione del comune di Chiusi all'interno della provincia di Siena,Chiusi – MappaPosizione del comune di Chiusi all'interno della provincia di Siena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
