Pienza comune,Pienza comune.1
,
Pienza – Veduta,Pienza – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Siena
Amministrazione,Amministrazione
Sindaco,Manolo Garosi (La piazza) dall'08-6-2024
Territorio,Territorio
Coordinate,43°04′43″N 11°40′44″E
Altitudine,491 m s.l.m.
Superficie,"122,96 km²"
Abitanti,1 903[1] (30-11-2025)
Densità,"15,48 ab./km²"
Frazioni,"Monticchiello, Spedaletto"
Comuni confinanti,"Castiglione d'Orcia, Chianciano Terme, Montalcino, Montepulciano, Radicofani, San Quirico d'Orcia, Sarteano, Torrita di Siena, Trequanda"
Altre informazioni,Altre informazioni
Cod. postale,53026
Prefisso,0578
Fuso orario,UTC+1
Codice ISTAT,052021
Cod. catastale,G602
Targa,SI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 113 GG[3]"
Nome abitanti,pientini[4]
Patrono,sant'Andrea Apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Pienza,Pienza
Pienza – MappaPosizione del comune di Pienza all'interno della provincia di Siena,Pienza – MappaPosizione del comune di Pienza all'interno della provincia di Siena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
