Monticiano comune,Monticiano comune.1
,
Monticiano – Veduta,Monticiano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Siena
Amministrazione,Amministrazione
Sindaco,Alessio Serragli (lista civica Il Rinnovamento Continua) dal 4-10-2021
Territorio,Territorio
Coordinate,43°08′N 11°11′E
Altitudine,375 m s.l.m.
Superficie,"109,5 km²"
Abitanti,1 627[1] (30-11-2025)
Densità,"14,86 ab./km²"
Frazioni,"Bagni di Petriolo, Iesa, San Lorenzo a Merse, Tocchi, Scalvaia"
Comuni confinanti,"Chiusdino, Civitella Paganico (GR), Murlo, Roccastrada (GR), Sovicille"
Altre informazioni,Altre informazioni
Cod. postale,53015
Prefisso,0577
Fuso orario,UTC+1
Codice ISTAT,052018
Cod. catastale,F676
Targa,SI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 983 GG[3]"
Nome abitanti,monticianesi[4]; monticianini[4]
Patrono,Beato Antonio Patrizi
Giorno festivo,martedì dopo Pasqua
Cartografia,Cartografia
Monticiano,Monticiano
Monticiano – MappaPosizione del comune di Monticiano all'interno della provincia di Siena,Monticiano – MappaPosizione del comune di Monticiano all'interno della provincia di Siena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
