Monteriggioni comune,Monteriggioni comune.1
,
"Monteriggioni – VedutaIl centro storico, all'interno di una cinta muraria in gran parte conservata","Monteriggioni – VedutaIl centro storico, all'interno di una cinta muraria in gran parte conservata"
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Siena
Amministrazione,Amministrazione
Sindaco,Andrea Frosini (lista civica di centro-sinistra) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°22′01.15″N 11°13′04.93″E
Altitudine,274[1] m s.l.m.
Superficie,"99,72 km²"
Abitanti,10 052[2] (30-11-2025)
Densità,"100,8 ab./km²"
Frazioni,"Abbadia a Isola, Badesse, Basciano, Belverde, Castellina Scalo, Lornano, Montarioso, San Martino, Fornacelle, Monteresi,Quercegrossa, Santa Colomba, Strove, Tognazza, Il Ceppo, La Villa, Uopini"
Comuni confinanti,"Casole d'Elsa, Castellina in Chianti, Castelnuovo Berardenga, Colle di Val d'Elsa, Poggibonsi, Siena, Sovicille"
Altre informazioni,Altre informazioni
Cod. postale,53035
Prefisso,0577
Fuso orario,UTC+1
Codice ISTAT,052016
Cod. catastale,F598
Targa,SI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 687 GG[4]"
Nome abitanti,monteriggionesi[5]
Patrono,Natività della Beata Vergine Maria
Giorno festivo,8 settembre
Cartografia,Cartografia
Monteriggioni,Monteriggioni
Monteriggioni – MappaPosizione del comune di Monteriggioni all'interno della provincia di Siena,Monteriggioni – MappaPosizione del comune di Monteriggioni all'interno della provincia di Siena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
