Castiglione d'Orcia comune,Castiglione d'Orcia comune.1
,
Castiglione d'Orcia – VedutaPiazza Vecchietta,Castiglione d'Orcia – VedutaPiazza Vecchietta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Siena
Amministrazione,Amministrazione
Sindaco,Claudio Galletti (centro-sinistra) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,43°01′N 11°37′E
Altitudine,540 m s.l.m.
Superficie,"141,66 km²"
Abitanti,2 038[1] (30-11-2025)
Densità,"14,39 ab./km²"
Frazioni,"Bagni San Filippo, Campiglia d'Orcia, Gallina, Rocca d'Orcia, Vivo d'Orcia"
Comuni confinanti,"Abbadia San Salvatore, Castel del Piano (GR), Montalcino, Pienza, Radicofani, San Quirico d'Orcia, Seggiano (GR)"
Altre informazioni,Altre informazioni
Cod. postale,53023
Prefisso,0577
Fuso orario,UTC+1
Codice ISTAT,052007
Cod. catastale,C313
Targa,SI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 262 GG[3]"
Nome abitanti,castiglionesi[4]
Patrono,santo Stefano
Cartografia,Cartografia
Castiglione d'Orcia,Castiglione d'Orcia
Castiglione d'Orcia – MappaPosizione del comune di Castiglione d'Orcia all'interno della provincia di Siena,Castiglione d'Orcia – MappaPosizione del comune di Castiglione d'Orcia all'interno della provincia di Siena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
