San Quirico d'Orcia comune,San Quirico d'Orcia comune.1
,
San Quirico d'Orcia – VedutaPanorama di San Quirico d'Orcia,San Quirico d'Orcia – VedutaPanorama di San Quirico d'Orcia
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Siena
Amministrazione,Amministrazione
Sindaco,Marco Bartoli (lista civica di centro-sinistra) dal 10-6-2024
Territorio,Territorio
Coordinate,43°04′N 11°36′E
Altitudine,409 m s.l.m.
Superficie,"42,12 km²"
Abitanti,2 545[1] (30-11-2025)
Densità,"60,42 ab./km²"
Frazioni,Bagno Vignoni
Comuni confinanti,"Castiglione d'Orcia, Montalcino, Pienza"
Altre informazioni,Altre informazioni
Cod. postale,53027
Prefisso,0577
Fuso orario,UTC+1
Codice ISTAT,052030
Cod. catastale,I135
Targa,SI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 2 041 GG[3]"
Nome abitanti,sanquirichesi[4]
Patrono,santi Quirico e Giulitta
Giorno festivo,16 giugno
Cartografia,Cartografia
San Quirico d'Orcia,San Quirico d'Orcia
San Quirico d'Orcia – MappaPosizione del comune di San Quirico d'Orcia nella provincia di Siena,San Quirico d'Orcia – MappaPosizione del comune di San Quirico d'Orcia nella provincia di Siena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
