Chiusdino comune,Chiusdino comune.1
,
Chiusdino – Veduta,Chiusdino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Siena
Amministrazione,Amministrazione
Sindaco,Luciana Bartaletti (centro-sinistra) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,43°09′16.6″N 11°05′03.3″E
Altitudine,564 m s.l.m.
Superficie,"141,62 km²"
Abitanti,1 704[1] (30-11-2025)
Densità,"12,03 ab./km²"
Frazioni,"Ciciano, Frassini, Frosini, Montalcinello, Palazzetto"
Comuni confinanti,"Casole d'Elsa, Monticiano, Montieri (GR), Radicondoli, Roccastrada (GR), Sovicille"
Altre informazioni,Altre informazioni
Cod. postale,53012
Prefisso,0577
Fuso orario,UTC+1
Codice ISTAT,052010
Cod. catastale,C661
Targa,SI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 303 GG[3]"
Nome abitanti,chiusdinesi[4]
Patrono,Madonna delle Grazie (Patrono secondario - patronus minus principalis: San Galgano)
Cartografia,Cartografia
Chiusdino,Chiusdino
Chiusdino – MappaPosizione del comune di Chiusdino all'interno della provincia di Siena,Chiusdino – MappaPosizione del comune di Chiusdino all'interno della provincia di Siena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
