Cetona comune,Cetona comune.1
,
Cetona – Veduta,Cetona – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Siena
Amministrazione,Amministrazione
Sindaco,Roberto Cottini (centro-sinistra) dal 27-5-2019
Territorio,Territorio
Coordinate,42°58′N 11°54′E
Altitudine,385 m s.l.m.
Superficie,"53,57 km²"
Abitanti,2 444[1] (30-11-2025)
Densità,"45,62 ab./km²"
Frazioni,Piazze
Comuni confinanti,"Chiusi, Città della Pieve (PG), Fabro (TR), San Casciano dei Bagni, Sarteano"
Altre informazioni,Altre informazioni
Cod. postale,53040
Prefisso,0578
Fuso orario,UTC+1
Codice ISTAT,052008
Cod. catastale,C587
Targa,SI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 2 000 GG[3]"
Nome abitanti,cetonesi[4]
Patrono,santo Stefano
Giorno festivo,26 dicembre
Cartografia,Cartografia
Cetona,Cetona
Cetona – MappaPosizione del comune di Cetona all'interno della provincia di Siena,Cetona – MappaPosizione del comune di Cetona all'interno della provincia di Siena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
